284310	284318	4	14
290265	290841	3	11
37816	30679	4	16
43538	43550	4	10
52750	54869	4	15
87421	87415	4	24
109801	96157	4	4
12551	12550	4	5
136426	138101	2	11
149474	149475	4	24
151248	158979	2	11
166966	189394	3	13
181601	181600	4	4
188724	189681	2	14
205002	205001	4	4
279048	279047	4	10
29032	29031	4	5
30468	14899	4	2
33319	192507	2	26
39435	160333	5	1
7559	4740	2	5
100125	100124	4	11
108129	108130	4	5
132377	61074	4	25
153231	95081	4	2
165122	165123	4	26
188465	189154	2	2
193556	193557	4	24
206853	7143	4	14
237320	62694	4	23
65530	198095	5	1
76817	85258	2	10
9460	190086	5	1
95958	95933	4	10
98936	98950	4	10
116312	218458	4	25
12304	13972	2	27
151087	157140	2	22
182877	182876	4	4
189113	189570	3	25
19543	19540	4	25
204813	110934	4	24
211815	212433	3	9
221525	221526	4	25
233663	233661	4	4
284117	284112	3	8
294729	111079	5	1
35955	35956	4	23
49483	49489	4	25
55816	168793	4	24
67031	67042	4	23
81688	60095	4	5
98865	16440	4	23
110762	110761	3	22
156849	158829	4	2
167681	129168	4	23
183001	174536	4	14
184496	269687	4	30
197274	177941	4	4
198488	198487	4	3
253938	120304	4	4
270052	270501	2	2
39229	39227	4	23
72407	158426	4	26
158572	146464	4	27
16765	2228	4	13
170201	143959	4	2
173511	173512	4	26
181753	181752	2	10
213481	247439	4	27
22016	22009	4	3
235973	175628	2	4
271059	232241	4	11
279576	208977	4	10
53730	53913	4	23
85866	85867	4	4
99612	130498	4	23
103706	103736	4	25
132211	89297	4	23
163748	153956	4	24
179984	181801	4	4
229605	258757	4	27
249911	6792	4	10
264533	133861	4	2
274206	211859	2	23
4118	4122	4	14
48879	48861	4	23
61691	61690	4	16
67500	160409	4	23
90126	90129	4	24
93522	149690	4	27
95535	95536	4	2
143189	139957	4	2
157305	106927	4	10
189224	189510	3	13
19911	20023	4	23
208393	296486	2	27
67147	87973	4	14
99762	115882	4	14
142035	174290	2	26
147493	142963	2	15
182132	160261	4	14
223069	178592	4	10
252940	252939	4	4
268470	268471	4	24
268976	268977	4	24
285941	98834	4	2
295719	295720	4	26
55907	39539	4	26
60334	58796	4	11
83041	17528	4	4
13103	119474	5	1
133573	259357	4	25
144091	96706	5	1
19890	19896	4	25
201017	201018	4	27
220212	220211	4	2
243028	245175	3	26
244736	243564	4	10
257495	257494	4	10
284474	144845	4	23
44717	44651	4	2
5814	14250	4	24
75796	131588	4	10
106951	146403	4	14
116713	116627	4	23
129245	129246	4	2
13414	13415	5	1
138707	136891	4	23
143790	169853	4	15
226229	226227	4	27
246438	270295	2	12
52832	52805	4	23
56660	57796	3	22
64989	65011	4	4
71012	71020	4	4
94118	94116	4	11
104634	273729	4	14
105642	105632	4	2
137643	116145	4	4
152089	150101	4	13
161602	77486	4	24
187708	187707	4	14
192778	172334	3	14
213918	213917	4	4
216072	216071	4	17
216628	141682	4	23
250017	250014	5	1
253880	253881	4	27
257383	257398	4	24
26345	20598	4	23
286045	282957	4	10
41629	146472	5	1
48270	243278	4	2
67562	172478	4	14
67936	67907	4	10
106338	104266	4	10
106835	104149	4	10
116567	221034	4	24
247032	282541	2	25
261197	294903	4	27
294714	295861	3	15
295841	295845	4	24
50323	233744	4	14
124368	113904	4	2
128306	199936	4	23
130209	3188	4	23
13834	13832	4	14
155260	289823	4	15
172939	15156	4	23
177954	177953	4	10
178919	6507	4	14
183430	103164	4	13
229489	229488	4	4
24123	23629	2	4
26605	124678	5	1
271394	271393	4	4
275221	158344	4	4
34623	34624	4	11
79625	210398	4	22
83378	83367	4	4
8726	8725	4	23
97638	97635	4	24
106819	106737	4	4
120138	118746	4	10
128850	128851	4	25
167989	67562	4	10
171822	139010	4	14
176614	176613	4	10
183845	130390	4	2
26074	7867	4	23
264713	98312	5	1
284706	145207	5	1
293767	293768	4	24
66317	90311	4	24
68620	68576	4	2
70594	70592	4	23
7562	14018	4	10
88608	88834	4	25
92244	93016	4	2
142820	129128	4	4
177913	119383	4	14
