100048	102030	4	26
113756	113736	4	4
116324	116325	4	13
146163	146162	4	2
146791	93218	4	4
153775	270050	4	2
160876	160875	4	10
177739	177738	4	11
181009	186543	4	11
188716	189533	3	25
198591	250599	4	25
213570	291469	4	24
25715	25714	3	15
293081	293082	4	25
69637	69609	4	10
109248	109246	4	24
148764	104903	4	24
162935	162934	4	10
175482	78127	4	10
239839	239842	4	24
289932	292679	4	8
296780	296799	2	25
68532	68538	4	23
81663	81662	4	27
151087	132856	4	4
166128	165911	3	8
188418	189675	4	23
206358	208464	4	25
269562	269560	4	14
285370	285369	4	11
42838	261113	4	11
88919	88918	3	8
93229	93209	4	24
109406	109404	4	25
115088	218052	4	2
137296	137706	4	4
172716	170501	4	13
188829	188886	2	2
189525	189492	2	2
24229	47617	4	23
276350	276351	4	24
294684	78315	4	4
43206	30633	4	5
43802	210166	4	2
45718	88557	4	23
66285	72798	4	25
123702	122376	4	13
147951	159730	4	11
156023	195609	4	25
176094	205453	4	15
181921	143248	3	4
203031	196422	4	9
218824	202859	4	4
236704	236955	4	23
263881	205828	4	10
275067	275059	4	5
42958	128061	4	23
100435	100431	4	24
154522	158466	4	27
209701	131549	4	14
213402	213403	4	24
223697	124955	4	14
238164	238189	4	2
246661	98203	4	4
253957	253951	5	1
267302	267299	4	2
28023	3846	4	13
70876	182385	4	14
8326	8327	4	26
94686	94669	4	25
107224	107237	4	23
129605	129606	4	26
147662	181767	4	23
152300	131204	4	5
188730	189259	2	11
192230	192229	4	5
227116	227117	4	11
230896	230942	4	2
26352	26364	4	27
273794	23396	5	1
276900	276820	4	11
30293	115304	4	23
47776	47775	2	23
5829	168196	5	1
8754	9771	4	27
104740	105870	2	15
146123	173584	4	2
15886	84087	2	11
181096	245771	4	2
19319	19324	4	23
215085	205824	4	23
231499	231529	4	26
233725	128220	4	2
272332	272780	4	14
296790	262303	4	14
38226	48557	4	11
78416	122619	4	28
98028	98027	4	16
109504	128149	4	13
128175	155496	4	26
157998	242141	4	2
163667	163668	4	25
16554	17283	4	14
185498	132902	4	5
213243	213242	4	24
285544	288025	4	25
53455	82351	4	25
115431	115426	4	2
128033	128032	4	5
131693	1689	4	2
141631	14741	5	1
156197	145458	4	14
166672	166354	4	24
180556	149515	4	25
203121	239893	4	14
20415	21132	4	25
206908	206909	4	25
243954	219577	4	10
272411	262874	4	4
276638	271170	4	2
293841	294980	3	26
38737	36864	2	10
54880	182552	5	1
58285	116264	4	25
67956	67915	4	14
79290	79289	3	9
90902	56573	4	2
92709	107980	4	25
13935	309	4	4
186200	155901	4	4
192730	192729	4	4
224513	89200	4	23
231076	61767	4	13
27567	27558	4	23
295958	81428	4	25
4706	129346	4	26
55519	83061	4	24
58240	58163	4	10
73086	73087	4	4
124857	124858	4	24
126169	126675	4	23
155686	293587	2	24
165772	144220	2	13
206758	124150	4	2
266809	237750	4	15
38489	95187	4	23
39857	39843	4	23
46122	201872	3	25
56061	38511	4	23
138633	137227	4	24
145099	145100	4	24
167525	182638	4	16
178418	169607	4	10
196385	196386	4	26
234858	55855	4	5
235477	235480	5	1
240843	240844	4	24
251094	251355	3	16
254134	223995	4	4
264161	68368	4	4
264857	264791	4	12
274658	268688	4	4
31643	31650	4	23
69208	69205	4	10
110158	179233	2	24
143326	158442	4	2
155321	245943	4	24
161884	215808	4	10
18463	18462	4	23
186108	122493	4	10
189615	188804	3	13
211631	165861	5	1
226577	226611	4	25
288558	288563	4	24
288851	288854	3	5
30314	30533	4	23
90037	90036	4	5
10744	18600	2	16
137096	137095	4	4
154513	62970	4	10
166015	166383	3	8
215357	215356	4	5
2204	1784	4	23
230433	230432	4	4
249719	98478	4	2
277703	284137	2	14
278433	14854	2	22
279710	279712	3	8
289408	289409	4	25
36400	36402	4	24
42565	31033	4	10
45184	45180	4	2
6321	6327	4	3
68690	83719	4	25
85126	81471	2	2
112977	283803	4	23
117831	118227	4	23
119390	122918	4	23
119693	142151	3	11
132136	135546	4	14
168519	133756	4	5
169920	172148	4	25
194836	232648	4	2
197347	193026	4	27
203840	232726	4	10
249555	252168	4	24
256075	263417	3	9
270569	270567	4	4
284139	283835	4	4
287069	287634	3	13
33350	17343	4	5
52989	53091	4	24
60793	60777	4	4
13214	13212	4	6
163396	200335	4	4
176000	129425	4	2
284861	284859	5	1
80960	80952	4	24
92403	137027	5	1
101086	175082	4	24
138066	129703	4	14
144908	145231	4	23
149919	149920	4	25
164975	177702	4	10
222173	213613	4	24
222628	261215	4	13
230312	168631	4	5
